match_id,season,match_no,date,venue,batting_team,bowling_team,innings,over,striker,bowler,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,1.5,Yastika,Ismail,4,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,1.6,Yastika,Ismail,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,2.1,Yastika,Deepti Sharma,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,2.2,Yastika,Deepti Sharma,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,2.3,Matthews,Deepti Sharma,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,2.4,Yastika,Deepti Sharma,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,2.5,Yastika,Deepti Sharma,4,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,2.6,Yastika,Deepti Sharma,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,3.1,Yastika,Anjali Sarvani,0,1,1,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,3.1,Yastika,Anjali Sarvani,0,1,1,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,3.1,Yastika,Anjali Sarvani,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,3.2,Yastika,Anjali Sarvani,4,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,3.3,Yastika,Anjali Sarvani,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,3.4,Yastika,Anjali Sarvani,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,3.5,Yastika,Anjali Sarvani,4,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,3.6,Yastika,Anjali Sarvani,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,4.1,Matthews,Ecclestone,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,4.2,Yastika,Ecclestone,4,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,4.3,Yastika,Ecclestone,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,4.4,Matthews,Ecclestone,0,0,0,0,0,0,,,
